83	1	1	1	0.77	0.7	10	328	695
0	1	0.6	1	0.5	0.4	5	0	181
0	1	0.83	1	0.6	0.5	6	952	873
168	1	1	1	0.36	0.41	12	356	424
75	1	1	1	1	0.5	2	87	356
0	0.2	0.36	0.45	0.9	0.81	11	1472	332
0	0	0	1	0.5	1	3	0	140
0	1	0.5	1	0.33	0.5	4	0	1112
211	1	1	1	0.66	0.68	16	442	788
170	1	0.92	1	0.46	0.42	14	0	613
199	1	1	1	1	1	2	59	147
105	1	1	1	1	1	4	224	377
0	0	0	0.33	1	1	3	0	84
0	1	1	1	0.4	0.66	6	0	596
40	1	0.8	1	1	0.8	5	0	185
0	1	0.66	1	0	0	3	0	663
0	1	0.66	1	0	0	3	0	320
0	1	1	1	0.5	0.55	9	476	483
197	1	1	1	0.5	0.33	3	176	144
218	1	1	1	0.42	0.5	8	281	364
56	1	0.8	1	1	0.8	5	0	369
0	1	0.6	1	1	0.6	5	0	192
0	1	0.33	1	1	0.33	3	0	175
36	1	0.83	1	0.4	0.5	6	0	164
52	1	1	1	0.55	0.6	10	156	633
46	1	1	1	0	0	5	400	113
130	1	1	1	1	1	5	1271	247
0	0.42	0.37	0.5	1	1	8	2312	540
200	0.42	0.5	1	0.71	0.75	8	381	399
66	1	1	1	1	0.66	3	0	278
75	1	1	1	0.4	0.16	6	635	625
0	1	0.66	1	0	0	3	0	255
291	1	1	1	0.44	0.5	10	1001	406
0	0.33	0	0.5	1	1	4	0	715
0	0.57	0.25	0.62	1	1	8	0	965
121	1	0.90	1	0.6	0.63	11	0	448
126	1	1	1	0	0	3	63	180
98	1	1	1	1	1	4	246	262
0	1	1	1	0.25	0.4	5	45	206
0	1	0.8	1	0.75	1	5	20	276
94	1	1	1	0	0	2	93	132
619	1	1	1	0.8	0.66	6	1133	795
110	1	1	1	1	1	5	176	219
0	1	0.8	1	0.75	0.4	5	70	206
21	1	1	1	0.44	0.5	10	55	521
135	1	0.83	1	0.8	0.66	6	0	270
52	1	1	1	0.22	0.4	10	0	394
190	1	1	1	0.8	0.5	6	1323	839
240	1	0.66	1	1	0.66	3	0	108
22	1	1	1	0.66	0.5	4	1184	479
83	1	0.5	1	1	0	2	0	161
15	1	0.5	1	0	0	2	0	256
6	1	1	1	0	0	3	418	134
0	0	0.33	0.33	1	1	3	240	62
89	1	1	1	0.44	0.4	10	2257	389
10	1	1	1	0	0.16	6	172	263
148	1	0.8	1	0.25	0	5	0	147
72	1	1	1	0.37	0.22	9	0	560
116	1	0.75	1	1	0.75	4	0	177
169	1	0.83	1	0	0	6	0	387
