LR999924.1	1661	121	1140	3409	2313	2037
LR999925.1	1749	100	1213	3606	2760	2394
LR999926.1	1885	98	1258	3945	2957	2512
LR999927.1	1989	143	1438	3815	3148	2669
LR999928.1	1556	78	1274	3882	2774	2375
LR999929.1	2032	118	1396	4337	3253	2819
LR999930.1	1706	97	1265	3730	2870	2485
LR999931.1	1451	77	1099	3265	2346	2041
LR999932.1	1909	117	1342	4160	3174	2750
LR999933.1	1665	106	1327	3988	2899	2519
LR999934.1	2424	164	1491	4344	3664	3161
LR999935.1	1526	85	986	3212	2347	2045
LR999936.1	1821	108	1241	4118	3046	2619
LR999937.1	1751	117	1416	4050	3114	2665
LR999938.1	1590	85	1207	3778	2752	2418
LR999939.1	1547	108	1180	3823	2818	2493
LR999940.1	1667	241	2931	475	8977	6319
LR999941.1	1438	83	1091	3557	2486	2196
LR999942.1	1556	77	1108	3741	2692	2350
LR999943.1	1589	103	1071	3949	2677	2352
LR999944.1	1974	149	1185	4008	3217	2648
LR999945.1	1525	91	1127	3740	2612	2304
LR999946.1	1556	105	1106	3963	3022	2632
LR999947.1	1693	111	1254	4831	3164	2846
LR999948.1	1591	120	1254	4421	3266	2939
LR999949.1	1853	142	1161	4272	3321	2934
LR999950.1	1283	58	887	3533	2507	2194
LR999951.1	1604	96	1068	4450	3013	2673
LR999952.1	1565	124	904	3883	3015	2731
LR999953.1	2073	189	905	3597	3418	2933
LR999954.1	1506	71	851	4262	3170	2898
LR999955.1	1640	143	652	3302	2705	2334
