OG0007188 	 2 1
OG0007233 	 1 1
OG0007252 	 1 1
OG0007403 	 1 1
OG0007497 	 1 1
OG0007509 	 1 1
OG0007510 	 1 1
OG0007526 	 1 1
OG0007532 	 1 1
OG0007541 	 1 1
OG0007569 	 1 1
OG0007608 	 1 1
OG0007609 	 1 1
OG0007723 	 1 1
OG0007775 	 1 1
OG0007786 	 1 1
OG0007825 	 1 1
OG0007847 	 1 1
OG0007852 	 1 1
OG0007866 	 1 1
OG0007929 	 1 1
OG0008094 	 1 1
OG0008098 	 1 1
OG0008103 	 1 1
OG0008114 	 2 1
OG0008167 	 1 1
OG0008189 	 1 1
OG0008213 	 1 1
OG0008238 	 1 1
OG0008296 	 1 1
OG0008305 	 1 1
OG0008306 	 1 1
OG0008308 	 1 1
OG0008370 	 1 1
OG0008496 	 1 1
OG0008505 	 1 1
OG0008525 	 1 1
OG0008607 	 1 1
OG0008613 	 1 4
OG0008618 	 1 1
OG0008621 	 1 1
OG0008623 	 1 1
OG0008717 	 1 1
OG0008763 	 1 1
OG0008788 	 1 1
OG0008828 	 1 1
OG0008870 	 1 1
OG0008996 	 1 1
OG0009018 	 1 1
OG0009097 	 1 2
OG0009202 	 1 1
OG0009229 	 1 1
OG0009241 	 1 1
OG0009288 	 1 1
OG0009342 	 1 1
OG0009376 	 1 1
OG0009494 	 2 1
OG0009579 	 1 1
OG0009636 	 1 1
OG0009682 	 1 1
OG0009720 	 1 1
OG0009827 	 1 1
OG0009838 	 1 1
OG0009890 	 1 1
OG0009940 	 1 1
OG0009964 	 1 1
OG0010006 	 1 1
OG0010053 	 1 1
OG0010070 	 1 1
OG0010085 	 1 1
OG0010093 	 1 1
OG0010144 	 1 1
OG0010187 	 1 1
OG0010325 	 1 1
OG0010338 	 1 1
OG0010391 	 1 1
OG0010487 	 1 1
OG0010513 	 1 1
OG0010621 	 2 1
OG0010678 	 1 1
OG0010691 	 1 1
OG0010731 	 1 1
OG0010756 	 1 1
OG0010973 	 1 1
OG0011059 	 1 1
OG0011067 	 1 1
OG0011116 	 1 1
OG0011316 	 2 1
OG0011421 	 1 1
OG0011573 	 1 1
OG0011589 	 1 1
OG0011601 	 1 1
OG0011877 	 1 1
OG0013306 	 1 1
