raw_output/gr/OG0000108.tsv.gr01.bd:		#Likelihood: -21.8223563859838
raw_output/gr/OG0000109.tsv.gr01.bd:		#Likelihood: -18.4098404632614
raw_output/gr/OG0000110.tsv.gr01.bd:		#Likelihood: -17.5343719064876
raw_output/gr/OG0000111.tsv.gr01.bd:		#Likelihood: -17.6758713904562
raw_output/gr/OG0000113.tsv.gr01.bd:		#Likelihood: -17.2161006067657
raw_output/gr/OG0000114.tsv.gr01.bd:		#Likelihood: -20.9395745586389
raw_output/gr/OG0000115.tsv.gr01.bd:		#Likelihood: -16.0931480114753
raw_output/gr/OG0000116.tsv.gr01.bd:		#Likelihood: -14.6818657016607
raw_output/gr/OG0000117.tsv.gr01.bd:		#Likelihood: -18.3833829698842
raw_output/gr/OG0000119.tsv.gr01.bd:		#Likelihood: -21.1763896266105
raw_output/gr/OG0000122.tsv.gr01.bd:		#Likelihood: -21.04767247864
raw_output/gr/OG0000124.tsv.gr01.bd:		#Likelihood: -16.0018512327501
raw_output/gr/OG0000125.tsv.gr01.bd:		#Likelihood: -19.3032577076535
raw_output/gr/OG0000126.tsv.gr01.bd:		#Likelihood: -14.7569985539813
raw_output/gr/OG0000127.tsv.gr01.bd:		#Likelihood: -21.7130613866773
raw_output/gr/OG0000128.tsv.gr01.bd:		#Likelihood: -14.7904065836492
raw_output/gr/OG0000129.tsv.gr01.bd:		#Likelihood: -20.1286381749138
raw_output/gr/OG0000130.tsv.gr01.bd:		#Likelihood: -16.1127081539216
raw_output/gr/OG0000131.tsv.gr01.bd:		#Likelihood: -21.2745075750585
raw_output/gr/OG0000132.tsv.gr01.bd:		#Likelihood: -18.1634317353604
raw_output/gr/OG0000133.tsv.gr01.bd:		#Likelihood: -21.3927798918009
raw_output/gr/OG0000134.tsv.gr01.bd:		#Likelihood: -15.1958726431305
raw_output/gr/OG0000137.tsv.gr01.bd:		#Likelihood: -19.262897508365
raw_output/gr/OG0000138.tsv.gr01.bd:		#Likelihood: -16.4028869800862
raw_output/gr/OG0000139.tsv.gr01.bd:		#Likelihood: -14.6880967056338
raw_output/gr/OG0000140.tsv.gr01.bd:		#Likelihood: -19.6951811347051
raw_output/gr/OG0000141.tsv.gr01.bd:		#Likelihood: -21.3452476470842
raw_output/gr/OG0000142.tsv.gr01.bd:		#Likelihood: -17.4325061579392
raw_output/gr/OG0000143.tsv.gr01.bd:		#Likelihood: -16.2975258790871
raw_output/gr/OG0000144.tsv.gr01.bd:		#Likelihood: -19.2915729537293
raw_output/gr/OG0000145.tsv.gr01.bd:		#Likelihood: -20.2441639704141
raw_output/gr/OG0000147.tsv.gr01.bd:		#Likelihood: -15.2476608453613
raw_output/gr/OG0000148.tsv.gr01.bd:		#Likelihood: -19.9593369703564
raw_output/gr/OG0000149.tsv.gr01.bd:		#Likelihood: -17.3679255277198
raw_output/gr/OG0000150.tsv.gr01.bd:		#Likelihood: -21.1880628053922
raw_output/gr/OG0000152.tsv.gr01.bd:		#Likelihood: -14.5545148071414
raw_output/gr/OG0000153.tsv.gr01.bd:		#Likelihood: -19.7226795639387
raw_output/gr/OG0000154.tsv.gr01.bd:		#Likelihood: -18.6399177882608
raw_output/gr/OG0000155.tsv.gr01.bd:		#Likelihood: -20.2954163653862
raw_output/gr/OG0000156.tsv.gr01.bd:		#Likelihood: -19.5454609594494
raw_output/gr/OG0000161.tsv.gr01.bd:		#Likelihood: -19.9826184325198
raw_output/gr/OG0000162.tsv.gr01.bd:		#Likelihood: -14.6763596909054
raw_output/gr/OG0000163.tsv.gr01.bd:		#Likelihood: -19.529821870913
raw_output/gr/OG0000164.tsv.gr01.bd:		#Likelihood: -20.8434395141403
raw_output/gr/OG0000165.tsv.gr01.bd:		#Likelihood: -15.1871846992937
raw_output/gr/OG0000166.tsv.gr01.bd:		#Likelihood: -17.4207776772901
raw_output/gr/OG0000167.tsv.gr01.bd:		#Likelihood: -15.6571892116865
raw_output/gr/OG0000169.tsv.gr01.bd:		#Likelihood: -14.3886701227855
