raw_output/sp/OG0000108.tsv.sp02.bd:		#Likelihood: -21.0759480003989
raw_output/sp/OG0000109.tsv.sp02.bd:		#Likelihood: -19.1770496831099
raw_output/sp/OG0000110.tsv.sp02.bd:		#Likelihood: -17.381948823262
raw_output/sp/OG0000111.tsv.sp02.bd:		#Likelihood: -18.4161241470375
raw_output/sp/OG0000113.tsv.sp02.bd:		#Likelihood: -16.3348377415813
raw_output/sp/OG0000114.tsv.sp02.bd:		#Likelihood: -20.9179527480428
raw_output/sp/OG0000115.tsv.sp02.bd:		#Likelihood: -16.3616074768591
raw_output/sp/OG0000116.tsv.sp02.bd:		#Likelihood: -14.6802190074451
raw_output/sp/OG0000117.tsv.sp02.bd:		#Likelihood: -17.7682818633831
raw_output/sp/OG0000119.tsv.sp02.bd:		#Likelihood: -20.9589187547248
raw_output/sp/OG0000122.tsv.sp02.bd:		#Likelihood: -20.6419007426778
raw_output/sp/OG0000124.tsv.sp02.bd:		#Likelihood: -15.4462600239143
raw_output/sp/OG0000125.tsv.sp02.bd:		#Likelihood: -18.7946461813529
raw_output/sp/OG0000126.tsv.sp02.bd:		#Likelihood: -9.0761454824978
raw_output/sp/OG0000127.tsv.sp02.bd:		#Likelihood: -20.8714812924495
raw_output/sp/OG0000128.tsv.sp02.bd:		#Likelihood: -16.2161375587752
raw_output/sp/OG0000129.tsv.sp02.bd:		#Likelihood: -18.9917411042612
raw_output/sp/OG0000130.tsv.sp02.bd:		#Likelihood: -15.0385699644709
raw_output/sp/OG0000131.tsv.sp02.bd:		#Likelihood: -20.7340343476424
raw_output/sp/OG0000132.tsv.sp02.bd:		#Likelihood: -17.9622692166715
raw_output/sp/OG0000133.tsv.sp02.bd:		#Likelihood: -20.8068618607729
raw_output/sp/OG0000134.tsv.sp02.bd:		#Likelihood: -15.222388262656
raw_output/sp/OG0000137.tsv.sp02.bd:		#Likelihood: -18.2528042688465
raw_output/sp/OG0000138.tsv.sp02.bd:		#Likelihood: -15.6045288291927
raw_output/sp/OG0000139.tsv.sp02.bd:		#Likelihood: -14.6368496584712
raw_output/sp/OG0000140.tsv.sp02.bd:		#Likelihood: -19.4132125420719
raw_output/sp/OG0000141.tsv.sp02.bd:		#Likelihood: -20.6179692790932
raw_output/sp/OG0000142.tsv.sp02.bd:		#Likelihood: -17.3798387086307
raw_output/sp/OG0000143.tsv.sp02.bd:		#Likelihood: -15.8511324359603
raw_output/sp/OG0000144.tsv.sp02.bd:		#Likelihood: -19.1467655460529
raw_output/sp/OG0000145.tsv.sp02.bd:		#Likelihood: -19.1434023362018
raw_output/sp/OG0000147.tsv.sp02.bd:		#Likelihood: -15.1994528268234
raw_output/sp/OG0000148.tsv.sp02.bd:		#Likelihood: -17.7949928160467
raw_output/sp/OG0000149.tsv.sp02.bd:		#Likelihood: -16.0548917457874
