orthogroup gr01 gr02	sp01 sp02	spM01 spM02
OG0006545 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006546 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006547 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006548 -9.69314681106905 -9.69314623217989	-9.69314734394983 -9.69314678273689	-9.69314744298633 -9.69314731621808
OG0006549 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006551 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006552 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006553 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006554 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006555 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006556 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
