orthogroup gr01 gr02	sp01 sp02	spM01 spM02
OG0006362 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006363 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006364 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006365 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006366 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006367 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006368 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006369 -9.6931468110689 -9.69314623217989	-9.69314734394983 -9.69314678273689	-9.69314744298634 -9.69314731621808
OG0006370 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006371 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006372 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006373 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006374 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006376 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006377 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006378 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
OG0006379 -9.0000000447608 -8.99999856148809	-8.99999151525249 -9.00000013795953	-9.00000017975224 -9.00000810289867
