LR999924.1 1 2000000 116658
LR999924.1 2000001 4000000 36238
LR999924.1 4000001 6000000 104206
LR999924.1 6000001 8000000 105762
LR999924.1 8000001 10000000 122558
LR999924.1 10000001 12000000 87691
LR999924.1 12000001 14000000 61772
LR999924.1 14000001 16000000 111141
LR999924.1 16000001 17040296 46048
LR999925.1 1 2000000 44984
LR999925.1 2000001 4000000 94168
LR999925.1 4000001 6000000 116124
LR999925.1 6000001 8000000 143376
LR999925.1 8000001 10000000 101537
LR999925.1 10000001 12000000 114460
LR999925.1 12000001 14000000 65332
LR999925.1 14000001 16000000 125484
LR999925.1 16000001 16607008 14057
LR999926.1 1 2000000 133039
LR999926.1 2000001 4000000 65698
LR999926.1 4000001 6000000 126527
LR999926.1 6000001 8000000 116917
LR999926.1 8000001 10000000 178760
LR999926.1 10000001 12000000 135925
LR999926.1 12000001 14000000 80680
LR999926.1 14000001 16000000 13505
LR999926.1 16000001 16362069 13653
LR999927.1 1 2000000 112496
LR999927.1 2000001 4000000 62033
LR999927.1 4000001 6000000 65483
LR999927.1 6000001 8000000 61537
LR999927.1 8000001 10000000 57577
LR999927.1 10000001 12000000 57406
LR999927.1 12000001 14000000 50897
LR999927.1 14000001 16000000 82000
LR999927.1 16000001 16090551 8495
LR999928.1 1 2000000 57651
LR999928.1 2000001 4000000 40253
LR999928.1 4000001 6000000 79287
LR999928.1 6000001 8000000 167999
LR999928.1 8000001 10000000 106592
LR999928.1 10000001 12000000 49048
LR999928.1 12000001 14000000 42741
LR999928.1 14000001 16000000 84687
LR999928.1 16000001 16000791 0
LR999929.1 1 2000000 78949
LR999929.1 2000001 4000000 39228
LR999929.1 4000001 6000000 84869
LR999929.1 6000001 8000000 69864
LR999929.1 8000001 10000000 111104
LR999929.1 10000001 12000000 57216
LR999929.1 12000001 14000000 131512
LR999929.1 14000001 15952094 72294
LR999930.1 1 2000000 31204
LR999930.1 2000001 4000000 113142
LR999930.1 4000001 6000000 75331
LR999930.1 6000001 8000000 116645
LR999930.1 8000001 10000000 93319
LR999930.1 10000001 12000000 42255
LR999930.1 12000001 14000000 86172
LR999930.1 14000001 15715213 35188
LR999931.1 1 2000000 88355
LR999931.1 2000001 4000000 38181
LR999931.1 4000001 6000000 151865
LR999931.1 6000001 8000000 149552
LR999931.1 8000001 10000000 148939
LR999931.1 10000001 12000000 218495
LR999931.1 12000001 14000000 42079
LR999931.1 14000001 15572524 54616
LR999932.1 1 2000000 61476
LR999932.1 2000001 4000000 74752
LR999932.1 4000001 6000000 136002
LR999932.1 6000001 8000000 124701
LR999932.1 8000001 10000000 62344
LR999932.1 10000001 12000000 80508
LR999932.1 12000001 14000000 77309
LR999932.1 14000001 15426761 83625
LR999933.1 1 2000000 49594
LR999933.1 2000001 4000000 67164
LR999933.1 4000001 6000000 61821
LR999933.1 6000001 8000000 95018
LR999933.1 8000001 10000000 77424
LR999933.1 10000001 12000000 129182
LR999933.1 12000001 14000000 47219
LR999933.1 14000001 15296561 40413
LR999934.1 1 2000000 41664
LR999934.1 2000001 4000000 25121
LR999934.1 4000001 6000000 39726
LR999934.1 6000001 8000000 50538
LR999934.1 8000001 10000000 110708
LR999934.1 10000001 12000000 137554
LR999934.1 12000001 14000000 101204
LR999934.1 14000001 14945938 48426
LR999935.1 1 2000000 121380
LR999935.1 2000001 4000000 85734
LR999935.1 4000001 6000000 66228
LR999935.1 6000001 8000000 224335
LR999935.1 8000001 10000000 110410
LR999935.1 10000001 12000000 96536
LR999935.1 12000001 14000000 86494
LR999935.1 14000001 14868897 9803
LR999936.1 1 2000000 94357
LR999936.1 2000001 4000000 72390
LR999936.1 4000001 6000000 150419
LR999936.1 6000001 8000000 58993
LR999936.1 8000001 10000000 77461
LR999936.1 10000001 12000000 51042
LR999936.1 12000001 14000000 59388
LR999936.1 14000001 14774369 5601
LR999937.1 1 2000000 63801
LR999937.1 2000001 4000000 45825
LR999937.1 4000001 6000000 89210
LR999937.1 6000001 8000000 70406
LR999937.1 8000001 10000000 28568
LR999937.1 10000001 12000000 66672
LR999937.1 12000001 14000000 54088
LR999937.1 14000001 14615999 22641
LR999938.1 1 2000000 35176
LR999938.1 2000001 4000000 60920
LR999938.1 4000001 6000000 29787
LR999938.1 6000001 8000000 51139
LR999938.1 8000001 10000000 77316
LR999938.1 10000001 12000000 67971
LR999938.1 12000001 14000000 84284
LR999938.1 14000001 14605406 28159
LR999939.1 1 2000000 59909
LR999939.1 2000001 4000000 32417
LR999939.1 4000001 6000000 58153
LR999939.1 6000001 8000000 92563
LR999939.1 8000001 10000000 86941
LR999939.1 10000001 12000000 82258
LR999939.1 12000001 13916383 44990
LR999940.1 1 2000000
LR999940.1 2000001 4000000
LR999940.1 4000001 6000000
LR999940.1 6000001 8000000
LR999940.1 8000001 10000000
LR999940.1 10000001 12000000
LR999940.1 12000001 13819298
LR999941.1 1 2000000 56617
LR999941.1 2000001 4000000 63225
LR999941.1 4000001 6000000 71862
LR999941.1 6000001 8000000 146402
LR999941.1 8000001 10000000 129767
LR999941.1 10000001 12000000 69627
LR999941.1 12000001 13774036 75178
LR999942.1 1 2000000 37842
LR999942.1 2000001 4000000 77317
LR999942.1 4000001 6000000 137123
LR999942.1 6000001 8000000 76415
LR999942.1 8000001 10000000 70893
LR999942.1 10000001 12000000 78094
LR999942.1 12000001 13550656 60104
LR999943.1 1 2000000 57359
LR999943.1 2000001 4000000 100579
LR999943.1 4000001 6000000 101658
LR999943.1 6000001 8000000 88861
LR999943.1 8000001 10000000 112832
LR999943.1 10000001 12000000 48995
LR999943.1 12000001 13236624 24508
LR999944.1 1 2000000 50014
LR999944.1 2000001 4000000 42478
LR999944.1 4000001 6000000 57826
LR999944.1 6000001 8000000 55860
LR999944.1 8000001 10000000 45380
LR999944.1 10000001 12000000 45418
LR999944.1 12000001 12933853 40291
LR999945.1 1 2000000 97366
LR999945.1 2000001 4000000 66313
LR999945.1 4000001 6000000 159280
LR999945.1 6000001 8000000 115584
LR999945.1 8000001 10000000 88196
LR999945.1 10000001 12000000 34829
LR999945.1 12000001 12861081 10823
LR999946.1 1 2000000 72637
LR999946.1 2000001 4000000 47398
LR999946.1 4000001 6000000 87632
LR999946.1 6000001 8000000 133317
LR999946.1 8000001 10000000 59301
LR999946.1 10000001 12000000 40930
LR999946.1 12000001 12594674 20015
LR999947.1 1 2000000 49166
LR999947.1 2000001 4000000 30402
LR999947.1 4000001 6000000 54633
LR999947.1 6000001 8000000 43643
LR999947.1 8000001 10000000 54169
LR999947.1 10000001 11704087 40283
LR999948.1 1 2000000 37174
LR999948.1 2000001 4000000 50038
LR999948.1 4000001 6000000 48738
LR999948.1 6000001 8000000 66021
LR999948.1 8000001 10000000 47130
LR999948.1 10000001 11326783 43866
LR999949.1 1 2000000 70698
LR999949.1 2000001 4000000 55408
LR999949.1 4000001 6000000 71832
LR999949.1 6000001 8000000 75817
LR999949.1 8000001 10000000 52271
LR999949.1 10000001 11199261 50060
LR999950.1 1 2000000 73833
LR999950.1 2000001 4000000 66279
