chrome begin end count_genes length_genes
LR999934.1 12000001 14000000 62 604592
LR999934.1 14000001 14945938 48 332549
LR999935.1 1 2000000 82 476899
LR999935.1 2000001 4000000 57 397069
LR999935.1 4000001 6000000 47 146854
LR999935.1 6000001 8000000 114 428301
LR999935.1 8000001 10000000 63 234937
LR999935.1 10000001 12000000 77 305358
LR999935.1 12000001 14000000 61 321753
LR999935.1 14000001 14868897 9 33263
LR999936.1 1 2000000 74 529638
LR999936.1 2000001 4000000 48 457907
LR999936.1 4000001 6000000 114 584258
LR999936.1 6000001 8000000 48 161225
LR999936.1 8000001 10000000 65 328420
LR999936.1 10000001 12000000 54 290413
LR999936.1 12000001 14000000 43 423668
LR999936.1 14000001 14774369 10 35444
LR999937.1 1 2000000 40 291715
LR999937.1 2000001 4000000 29 197409
LR999937.1 4000001 6000000 58 378549
LR999937.1 6000001 8000000 56 274710
LR999937.1 8000001 10000000 23 166652
LR999937.1 10000001 12000000 47 290501
LR999937.1 12000001 14000000 41 224650
LR999937.1 14000001 14615999 13 75737
LR999938.1 1 2000000 34 167822
LR999938.1 2000001 4000000 48 522870
LR999938.1 4000001 6000000 31 145571
LR999938.1 6000001 8000000 39 131837
LR999938.1 8000001 10000000 54 225289
LR999938.1 10000001 12000000 69 247808
LR999938.1 12000001 14000000 70 447527
LR999938.1 14000001 14605406 28 198648
LR999939.1 1 2000000 36 276466
LR999939.1 2000001 4000000 26 115242
LR999939.1 4000001 6000000 46 193241
LR999939.1 6000001 8000000 73 264419
LR999939.1 8000001 10000000 57 212962
LR999939.1 10000001 12000000 56 406165
LR999939.1 12000001 13916383 49 412874
LR999940.1 1 2000000 43 189031
LR999940.1 2000001 4000000 36 222401
LR999940.1 4000001 6000000 26 184526
LR999940.1 6000001 8000000 25 93096
LR999940.1 8000001 10000000 26 113605
LR999940.1 10000001 12000000 35 146653
LR999940.1 12000001 13819298 37 184814
LR999941.1 1 2000000 47 195553
LR999941.1 2000001 4000000 51 262025
LR999941.1 4000001 6000000 37 171703
LR999941.1 6000001 8000000 123 402316
LR999941.1 8000001 10000000 89 336085
LR999941.1 10000001 12000000 51 257826
LR999941.1 12000001 13774036 43 238037
LR999942.1 1 2000000 27 425185
LR999942.1 2000001 4000000 76 408127
LR999942.1 4000001 6000000 90 281565
LR999942.1 6000001 8000000 64 236610
LR999942.1 8000001 10000000 55 240376
LR999942.1 10000001 12000000 83 485414
LR999942.1 12000001 13550656 42 196507
LR999943.1 1 2000000 55 447461
LR999943.1 2000001 4000000 79 459886
LR999943.1 4000001 6000000 73 370750
LR999943.1 6000001 8000000 81 307271
LR999943.1 8000001 10000000 84 394109
LR999943.1 10000001 12000000 50 326517
LR999943.1 12000001 13236624 24 96336
LR999944.1 1 2000000 40 194895
LR999944.1 2000001 4000000 42 307792
LR999944.1 4000001 6000000 43 265900
LR999944.1 6000001 8000000 54 280829
LR999944.1 8000001 10000000 26 301769
LR999944.1 10000001 12000000 39 199943
LR999944.1 12000001 12933853 32 139206
LR999945.1 1 2000000 76 571475
LR999945.1 2000001 4000000 47 446267
LR999945.1 4000001 6000000 121 486593
LR999945.1 6000001 8000000 81 364095
LR999945.1 8000001 10000000 56 332947
LR999945.1 10000001 12000000 32 203853
LR999945.1 12000001 12861081 12 67382
LR999946.1 1 2000000 60 265792
LR999946.1 2000001 4000000 37 330647
LR999946.1 4000001 6000000 52 296955
LR999946.1 6000001 8000000 99 389251
LR999946.1 8000001 10000000 36 246285
LR999946.1 10000001 12000000 32 345168
LR999946.1 12000001 12594674 26 164856
LR999947.1 1 2000000 55 389854
LR999947.1 2000001 4000000 31 495304
LR999947.1 4000001 6000000 64 330663
LR999947.1 6000001 8000000 40 256194
LR999947.1 8000001 10000000 61 409407
LR999947.1 10000001 11704087 38 441694
LR999948.1 1 2000000 26 172099
LR999948.1 2000001 4000000 50 404844
LR999948.1 4000001 6000000 52 252146
LR999948.1 6000001 8000000 55 312953
LR999948.1 8000001 10000000 49 299457
LR999948.1 10000001 11326783 24 248983
LR999949.1 1 2000000 52 446888
LR999949.1 2000001 4000000 44 288803
LR999949.1 4000001 6000000 66 375988
LR999949.1 6000001 8000000 79 397709
LR999949.1 8000001 10000000 41 496932
LR999949.1 10000001 11199261 38 324044
LR999950.1 1 2000000 49 453629
LR999950.1 2000001 4000000 30 226434
LR999950.1 4000001 6000000 31 134825
LR999950.1 6000001 8000000 40 215481
LR999950.1 8000001 9960137 39 336300
LR999951.1 1 2000000 29 301678
LR999951.1 2000001 4000000 51 329399
LR999951.1 4000001 6000000 36 180865
LR999951.1 6000001 8000000 38 363832
LR999951.1 8000001 9839934 35 288551
LR999952.1 1 2000000 59 515204
LR999952.1 2000001 4000000 39 308654
LR999952.1 4000001 6000000 73 514676
LR999952.1 6000001 8000000 60 584563
